#~Name~Sponsor~Sponsor 2~Team~Manufacturer~Superspeedway~Intermediate~Flat~Short Track~Road Course~Aggr.~Morale~Age~Titles~Wins~Top 5's~Top 10's~Starts~Years~Engine~Chassis~Aero~Pit Crew~Prestige~Schedule~~
51~A.J Foyt~Unsponsored~Unsponsored~A.J Foyt Enterprises~Oldsmobile~72~72~72~72~72~72~56~27~0~0~0~0~0~1~62~62~64~58~62~Part Time~~
67~Buddy Arrington~Hills Racing~Unsponsored~Arrington Racing~Dodge~80~72~73~73~73~72~80~42~0~0~0~0~0~1~76~72~74~873~86~Full Time~~
77~Dick May~Unsponsored~Unsponsored~Arrington Racing~Dodge~63~63~63~66~66~63~56~29~0~0~0~0~0~2~81~81~83~86~87~Full Time~~
97~Eddie Dickerson~Unsponsored~Unsponsored~Arrington Racing~Dodge~63~63~66~63~63~63~80~41~0~0~0~0~0~9~79~80~79~76~79~Full Time~~
03~Jimmy Finger~Unsponsored~Unsponsored~B & B Racing~Buick~61~54~55~52~56~72~72~25~0~0~0~0~0~1~57~56~66~64~77~Full Time~~
30~Tighe Scott~Unsponsored~Unsponsored~Ballard Racing~Oldsmobile~63~55~63~53~53~53~100~57~0~0~0~0~0~3~84~82~80~68~72~Part Time~~
87~Bille Harvey~Unsponsored~Unsponsored~Billie Harvey Racing~Chevy~60~63~63~63~63~63~56~46~0~0~0~0~0~1~56~56~67~67~89~Full Time~~
41~Dick Brooks~Unsponsored~Unsponsored~Billy Mathews Racing~Chevy~72~66~63~74~76~72~100~40~0~0~0~0~0~1~74~74~72~72~74~Full Time~~
81~John Borneman~Unsponsored~Unsponsored~Borneman Motorsports~Chevy~79~67~67~69~73~72~100~43~0~0~0~0~0~2~77~77~77~72~77~Full Time~~
15~Bobby Allison~Hogdon~Unsponsored~Bud Moore Engineering~Ford~86~76~82~82~82~82~72~45~0~0~0~0~0~1~88~88~88~88~58~Full Time~~
88~Darrell Waltrip~Gatorade~Unsponsored~DiGard Motorsports~Chevy~99~88~89~85~85~85~92~28~0~0~0~0~0~1~96~96~92~99~80~Full Time~~
56~Jody Ridley~Unsponsored~Unsponsored~Donlavey Racing~Ford~72~72~72~72~72~72~72~35~0~0~0~0~0~1~58~56~62~58~58~Full Time~~
1~David Pearson~Hawaiian~Unsponsored~Ellington Racing~Oldsmobile~86~78~76~82~72~72~72~39~0~0~0~0~0~1~76~81~72~79~61~Full Time~~
9~Bill Elliott~Coors~Coors~Elliott Racing~Mercury~86~85~79~85~85~72~72~29~0~0~0~0~0~1~88~85~88~88~87~Full Time~~
4~Gary Baker~Unsponsored~Unsponsored~G.C Spencer Racing~Chevy~72~72~72~72~72~72~72~34~0~0~0~0~0~2~64~63~66~64~64~Full Time~~
24~Cecil Gordon~Unsponsored~Unsponsored~Gordon Racing~Oldsmobile~72~72~72~72~72~72~56~25~0~0~0~0~0~3~45~52~65~72~75~Part Time~~
19~John Anderson~Unsponsored~Unsponsored~Gray Racing~Chevy~77~65~63~72~72~72~56~22~0~0~0~0~0~2~76~76~77~72~72~Full Time~~
44~Terry Labonte~Piedmont~Piedmont~Hagan Racing~Chevy~87~82~85~83~84~82~56~27~0~0~0~0~0~1~83~83~86~86~83~Full Time~~
02~Donnie Allison~Unsponsored~Unsponsored~Halpern Enterprises~Chevy~72~72~72~72~72~72~56~55~0~0~0~0~0~2~95~72~77~68~56~Full Time~~
17~Roger Hamby~Unsponsored~Unsponsored~Hamby Motorsports~Chevy~73~68~77~73~65~72~56~35~0~0~0~0~0~1~53~64~63~69~63~Full Time~~
99~Dick May~Unsponsored~Unsponsored~Hollar Racing~Chevy~72~72~72~72~72~72~56~56~0~0~0~0~0~4~77~64~69~72~77~Full Time~~
48~James Hylton~Unsponsored~Unsponsored~Hylton Racing~Chevy~81~86~83~88~78~72~56~29~0~0~0~0~0~77~75~76~77~72~Full Time~~
72~Chuck Brown~Unsponsored~Unsponsored~John Kieper~Dodge~72~72~72~72~72~72~56~44~0~0~0~0~0~2~56~66~77~69~67~Full Time~~
98~Hershel McGriff~Unsponsored~Unsponsored~John Kieper~Chevy~72~76~78~72~72~72~56~36~0~0~0~0~0~1~74~77~79~56~89~Full Time~~
53~Slick Johnson~Unsponsored~Unsponsored~Johnson Racing~Chevy~72~72~72~72~72~72~99~26~0~0~0~0~0~2~82~82~83~83~82~Full Time~~
11~Cale Yarborough~Budweiser~Budweiser~Junior Johnson & Associates~Chevy~86~85~85~85~85~72~99~22~0~0~0~0~0~5~77~80~80~78~80~Full Time~~
79~Junior Miller~Unsponsored~Unsponsored~Junior Miller Racing~Chevy~72~72~72~72~72~72~99~42~0~0~0~0~0~2~77~76~77~76~77~Full Time~~
43~Richard Petty~STP~STP~Petty Enterprises~Chevy~99~85~89~85~85~95~99~37~7~194~300~400~800~3~87~89~87~89~77~Full Time~~
64~Tommy Gale~Unsponsored~Unsponsored~Langley Racing~Ford~55~63~53~53~53~55~99~28~0~0~0~0~0~2~82~85~84~79~82~Full Time~~
27~Benny Parsons~Unsponsored~Unsponsored~M.C Anderson Racing~Chevy~77~84~76~72~83~72~99~28~0~0~0~0~0~2~79~82~72~81~72~Full Time~~
71~Dave Marcis~Unsponsored~Unsponsored~Marcis Auto Racing~Chevy~85~79~82~77~72~72~99~35~0~0~0~0~0~2~79~76~76~72~72~Full Time~~
56~J.D McDuffie~Unsponsored~Unsponsored~McDuffie Racing~Chevy~69~71~74~73~73~72~99~21~0~0~0~0~0~1~63~64~64~62~63~Full Time~~
52~Jimmy Means~Unsponsored~Unsponsored~Means Racing~Chevy~80~74~83~73~72~72~79~29~0~0~0~0~0~2~78~69~72~72~72~Full Time~~
7~Roy Smith~Unsponsored~Unsponsored~Nelson Malloch Racing~Ford~66~63~72~73~73~72~56~34~0~0~0~0~0~5~98~99~98~95~98~Full Time~~
2~Dale Earnhardt~Wrangler~Wrangler~Osterlund Racing~Chevy~95~95~96~90~92~82~56~31~0~0~0~0~0~2~95~94~90~82~95~Full Time~~
42~Kyle Petty~STP~Unsponsored~Petty Enterprises~Chevy~80~80~77~73~80~72~56~25~0~0~0~0~0~1~83~82~84~80~89~Part Time~~
45~Baxter Price~Unsponsored~Unsponsored~Price Racing~Chevy~72~72~72~72~72~72~72~29~0~0~0~0~0~2~65~63~62~67~65~Part Time~~
47~Harry Gant~Unsponsored~Unsponsored~Race Hill Farm Team~Chevy~82~78~78~72~72~72~56~29~0~0~0~0~0~1~79~79~82~82~56~Full Time~~
72~Jim Sauter~Unsponsored~Unsponsored~RahMoc Enterprises~Chevy~72~72~72~72~72~72~56~27~0~0~0~0~0~1~60~60~60~60~60~Part Time~~
28~Buddy Baker~Unsponsored~Unsponsored~Ranier-Lundy Racing~Oldsmobile~72~72~72~72~72~72~56~52~0~0~0~0~0~1~60~56~60~53~60~Part Time~~
3~Richard Childress~Wrangler~Unsponsored~Richard Childress Racing~Chevy~72~72~72~72~72~72~56~22~0~0~0~0~0~1~65~62~62~62~62~Part Time~~
25~Ronnie Thomas~Unsponsored~Unsponsored~Robertson Racing~Chevy~72~72~72~72~72~72~56~36~0~0~0~0~0~10~58~58~58~58~58~Part Time~~
66~Lake Speed~Unsponsored~Unsponsored~Speed Racing~Chevy~72~72~72~72~72~72~56~34~0~0~0~0~0~1~72~72~73~74~72~Part Time~~
21~Neil Bonnett~Motorcraft~Motorcraft~Wood Brothers Racing~Ford~88~82~78~86~82~82~99~22~0~0~0~0~0~0~88~86~82~88~72~Full Time~~
Start Year~Points Format~Starting Cars Per Race~Week~Lowest Cars Per Race~Largest Cars Per Race~Starting Min Driver Age~Lowest Min Driver Age~Largest Min Driver Age~Starting Max Driver Age~Lowest Min Driver Age~Largest Min Driver Age~~~~~~~~~~~~~~~
1980~1956~44~1~40~44~20~18~22~65~60~56~~~~~~~~~~~~~~~
Starting Number of Races~Lowest Number of Races~Largest Number of Races~~~~~~~~~~~~~~~~~~~~~~~~
36~34~40~~~~~~~~~~~~~~~~~~~~~~~~
Manufactures~~~~~~~~~~~~~~~~~~~~~~~~~~
Name~~~~~~~~~~~~~~~~~~~~~~~~~~
Oldsmobile~~~~~~~~~~~~~~~~~~~~~~~~~~
Dodge~~~~~~~~~~~~~~~~~~~~~~~~~~
Buick~~~~~~~~~~~~~~~~~~~~~~~~~~
Cheverlet~~~~~~~~~~~~~~~~~~~~~~~~~~
Ford~~~~~~~~~~~~~~~~~~~~~~~~~~
Mercury~~~~~~~~~~~~~~~~~~~~~~~~~~
Schedule~~~~~~~~~~~~~~~~~~~~~~~~~~
Race #~Race Name~Track Name~Track Type~~~~~~~~~~~~~~~~~~~~~~~
1~Winston Western 500~Riverside International Speedway~Road Course~~~~~~~~~~~~~~~~~~~~~~~
2~Daytona 500~Daytona International Speedway~Superspeedway~~~~~~~~~~~~~~~~~~~~~~~
3~Richmond 400~Richmond Fairgrounds Raceway~Short Track~~~~~~~~~~~~~~~~~~~~~~~
4~Carolina 500~North Carolina Motor Speedway~Intermediate~~~~~~~~~~~~~~~~~~~~~~~
5~Atlanta 500~Atlanta International Racewway~Intermediate~~~~~~~~~~~~~~~~~~~~~~~
6~Valleydale Southerneastern 400~Bristol International Raceway~Short Track~~~~~~~~~~~~~~~~~~~~~~~
7~CRC Rebel 500~Darlington International Raceway~Intermediate~~~~~~~~~~~~~~~~~~~~~~~
8~Northwestern Bank 400~North Wilkesboro Speedway~Short Track~~~~~~~~~~~~~~~~~~~~~~~
9~Virgina 500~Martinsville Speedway~Short Track~~~~~~~~~~~~~~~~~~~~~~~
10~Winston 500~Alabama International Motor Speedway~Superspeedway~~~~~~~~~~~~~~~~~~~~~~~
11~Music City 420~Nashville Fairground Speedway~Short Track~~~~~~~~~~~~~~~~~~~~~~~
12~Mason-Dixon 500~Dover Downs International Speedway~Flat~~~~~~~~~~~~~~~~~~~~~~~
13~World 600~Charlotte Motor Speedway~Intermediate~~~~~~~~~~~~~~~~~~~~~~~
14~NASCAR 400~Texas World Speedway~Superspeedway~~~~~~~~~~~~~~~~~~~~~~~
15~Warner W. Hodgon 400~Riverside International Speedway~Road Course~~~~~~~~~~~~~~~~~~~~~~~
16~Gabriel 400~Michigan International Speedway~Intermediate~~~~~~~~~~~~~~~~~~~~~~~
17~Firecracker 400~Daytona International Speedway~Superspeedway~~~~~~~~~~~~~~~~~~~~~~~
18~Busch Nashville 420~Nashville Fairground Speedway~Short Track~~~~~~~~~~~~~~~~~~~~~~~
19~Coca-Cola 500~Pocono Raceway~Flat~~~~~~~~~~~~~~~~~~~~~~~
20~Talladega 500~Alabama International Motor Speedway~Superspeedway~~~~~~~~~~~~~~~~~~~~~~~
21~Champion Spark Plug 400~Michigan International Speedway~Intermediate~~~~~~~~~~~~~~~~~~~~~~~
22~Busch Voulenteer 400~Bristol International Raceway~Short Track~~~~~~~~~~~~~~~~~~~~~~~
23~Southern 500~Darlington International Raceway~Intermediate~~~~~~~~~~~~~~~~~~~~~~~
24~Capital City 400~Richmond Fairgrounds Raceway~Short Track~~~~~~~~~~~~~~~~~~~~~~~
25~CRC Chemicals 500~Dover Downs International Speedway~Flat~~~~~~~~~~~~~~~~~~~~~~~
26~Holly Farms 400~North Wilkesboro Speedway~Short Track~~~~~~~~~~~~~~~~~~~~~~~
27~Old Dominion 500~Martinsville Speedway~Short Track~~~~~~~~~~~~~~~~~~~~~~~
28~National 500~Charlotte Motor Speedway~Intermediate~~~~~~~~~~~~~~~~~~~~~~~
29~American 500~North Carolina Motor Speedway~Intermediate~~~~~~~~~~~~~~~~~~~~~~~
30~Atlanta Journal 500~Atlanta International Racewway~Intermediate~~~~~~~~~~~~~~~~~~~~~~~
31~Los Angeles Times 500~Ontario Motor Speedway~Flat~~~~~~~~~~~~~~~~~~~~~~~
New Races~~~~~~~~~~~~~~~~~~~~~~~~~~
Race Name~Track Name~Track Type~~~~~~~~~~~~~~~~~~~~~~~~
VRN 444~Williams Grove Speedway~Dirt Track~~~~~~~~~~~~~~~~~~~~~~~~
Lucas Oil 350~Watkins Glen International~Road Course~~~~~~~~~~~~~~~~~~~~~~~~
NASCAR 500~Idianapolis Raceway~Flat~~~~~~~~~~~~~~~~~~~~~~~~
Pennsylvania 400~Pocono~Flat~~~~~~~~~~~~~~~~~~~~~~~~
Hooters 500~Atlanta International Raceway~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~
Pepsi 1000~Daytona Road Course~Road Course~~~~~~~~~~~~~~~~~~~~~~~~
Name~Age~SS~IN~FL~ST~RC~Aggr.~Career Titles~Career Wins~Career Top 5's~Career Top 10's~Career Races~~~~~~~~~~~~~~~
Jack Ingram~40~65~72~64~68~66~56~0~0~0~0~0~~~~~~~~~~~~~~~
Sam Ard~36~65~72~64~68~66~56~0~0~0~0~0~~~~~~~~~~~~~~~
Randy LaJoie~17~54~53~55~58~55~56~0~0~0~0~0~~~~~~~~~~~~~~~
Ken Schrader~22~66~76~76~77~77~76~0~0~0~0~0~~~~~~~~~~~~~~~
Dale Jarrett~19~72~76~76~77~77~76~0~0~0~0~0~~~~~~~~~~~~~~~
Morgan Shepherd~21~68~70~70~77~77~76~0~0~0~0~0~~~~~~~~~~~~~~~
Sterling Marlin~23~75~77~70~70~70~76~0~0~0~0~0~~~~~~~~~~~~~~
Tim Richmond~23~75~70~70~70~70~76~0~0~0~0~0~~~~~~~~~~~~~~
Jeff Purvis~14~45~47~43~42~42~76~0~0~0~0~0~~~~~~~~~~~~~~
Wally Dallenbach Jr~14~41~47~43~42~42~76~0~0~0~0~0~~~~~~~~~~~~~~
Tim Fedewa~16~45~47~43~42~42~76~0~0~0~0~0~~~~~~~~~~~~~~
Davey Allison~19~56~56~56~56~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Jimmy Spencer~17~48~56~56~56~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Dave Blaney~13~53~67~55~56~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Stacy Compton~11~33~37~37~38~35~56~0~0~0~0~0~~~~~~~~~~~~~~~
Steve Grissom~14~53~47~55~45~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Ricky Craven~16~56~54~51~53~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Jeremy Mayfield~13~56~54~51~53~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Rob Moroso~15~56~54~51~53~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Dick Trickle~20~56~54~51~53~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Elton Sawyer~18~46~44~51~47~48~56~0~0~0~0~0~~~~~~~~~~~~~~~
Todd Bodine~14~56~54~51~53~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Alan Kulwicki~25~72~82~82~86~72~76~0~0~0~0~0~~~~~~~~~~~~~~~
Rusty Wallace~21~76~77~78~78~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Bobby Labonte~13~56~56~56~56~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Michael Waltrip~17~56~56~56~56~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Jeff Gordon~11~56~68~66~57~58~56~0~0~0~0~0~~~~~~~~~~~~~~~
Jeff Burton~11~56~62~59~56~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Elliott Sadler~10~56~46~46~56~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Denny Hamlin~-3~56~56~56~56~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Mark Martin~21~72~72~72~72~72~56~0~0~0~0~0~~~~~~~~~~~~~~~
Mike Skinner~12~56~56~56~56~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Ryan Newman~8~56~56~56~56~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Tony Stewart~1~56~56~56~56~56~56~0~0~0~0~0~~~~~~~~~~~~~~~
Geoff Bodine~30~72~72~74~72~74~56~0~0~0~0~0~~~~~~~~~~~~~~~
Hudson Logano~-39~-158~-166~-159~-159~-160~-161~0~0~0~0~0~0
Tanner Kahne~-38~-138~-146~-134~-140~-137~-140~0~0~0~0~0~0
Owen Larson~-38~-129~-137~-128~-127~-128~-130~0~0~0~0~0~0
Brexton Busch~-36~-131~-139~-134~-129~-131~-133~0~0~0~0~0~0
Keelan Harvick~-37~-111~-119~-108~-114~-107~-113~0~0~0~0~0~0
Cash Bowyer~-34~-115~-123~-113~-112~-113~-114~0~0~0~0~0~0
Leo Gordon~-26~-97~-105~-100~-94~-93~-93~0~0~0~0~0~0
Ty Gibbs~-26~-50~-58~-49~-52~-49~-49~0~0~0~0~0~0
Sam Mayer~-25~-52~-60~-52~-50~-53~-56~0~0~0~0~0~0
Tyler Mallon~-25~-18~-26~-17~-14~-16~-15~0~0~0~0~0~0
Chandler Smith~-24~-33~-41~-32~-34~-32~-29~0~0~0~0~0~0
Hailie Deegan~-24~-19~-27~-20~-22~-20~-16~0~0~0~0~0~0
Thad Moffitt~-24~-24~-32~-20~-22~-22~-24~0~0~0~0~0~0
Raphael Lessard~-24~-31~-39~-34~-28~-35~-29~0~0~0~0~0~0
Tyler Ankrum~-24~-33~-41~-29~-31~-31~-29~0~0~0~0~0~0
Derek Kraus~-24~-46~-54~-48~-47~-43~-46~0~0~0~0~0~0
Kody Vanderwal~-23~-62~-70~-63~-66~-66~-58~0~0~0~0~0~0
Harrison Burton~-23~-30~-38~-26~-34~-32~-32~0~0~0~0~0~0
Todd Gilliland~-23~-25~-33~-26~-28~-24~-22~0~0~0~0~0~0
Christian Eckes~-23~-49~-57~-53~-51~-48~-47~0~0~0~0~0~0
Tyler Dippel~-22~-58~-66~-62~-60~-60~-56~0~0~0~0~0~0
Tate Fogleman~-22~-60~-68~-63~-57~-63~-64~0~0~0~0~0~0
Anthony Alfredo~-22~-97~-105~-96~-94~-101~-94~0~0~0~0~0~0
Justin Haley~-22~-20~-28~-22~-18~-17~-24~0~0~0~0~0~0
Austin Cindric~-22~-34~-42~-36~-34~-34~-37~0~0~0~0~0~0
Zane Smith~-22~-36~-44~-33~-32~-32~-37~0~0~0~0~0~0
Tanner Gray~-22~-43~-51~-41~-47~-42~-46~0~0~0~0~0~0
Riley Herbst~-21~-69~-77~-73~-71~-65~-71~0~0~0~0~0~0
Dalton Sargeant~-21~-17~-25~-13~-19~-19~-19~0~0~0~0~0~0
Kaz Grala~-21~-12~-20~-11~-10~-16~-14~0~0~0~0~0~0
Cole Custer~-21~-7~-15~-4~-6~-5~-7~0~0~0~0~0~0
William Byron~-21~-29~-37~-32~-28~-32~-28~0~0~0~0~0~0
Noah Gragson~-21~-8~-16~-12~-6~-10~-12~0~0~0~0~0~0
Spencer Davis~-21~-39~-47~-40~-38~-42~-36~0~0~0~0~0~0
Gray Gaulding~-21~-43~-51~-40~-47~-45~-45~0~0~0~0~0~0
Chase Purdy~-21~-45~-53~-42~-48~-43~-46~0~0~0~0~0~0
Kyle Weatherman~-21~-27~-35~-28~-30~-29~-25~0~0~0~0~0~0
Joe Graf, Jr.~-20~-49~-57~-45~-49~-48~-46~0~0~0~0~0~0
Logan Seavey~-20~-20~-28~-17~-16~-20~-24~0~0~0~0~0~0
John Hunter Nemechek~-20~-10~-18~-6~-13~-10~-6~0~0~0~0~0~0
Jesse Little~-20~-26~-34~-23~-27~-22~-30~0~0~0~0~0~0
Brandon Jones~-20~-31~-39~-33~-28~-32~-31~0~0~0~0~0~0
Ben Rhodes~-20~-22~-30~-20~-24~-20~-21~0~0~0~0~0~0
Sheldon Creed~-20~-34~-42~-33~-32~-38~-33~0~0~0~0~0~0
Vinnie Miller~-20~-41~-49~-44~-39~-40~-38~0~0~0~0~0~0
Blake Jones~-20~-43~-51~-43~-45~-39~-47~0~0~0~0~0~0
Natalie Decker~-20~-44~-52~-46~-47~-48~-45~0~0~0~0~0~0
Quin Houff~-19~-52~-60~-56~-55~-48~-55~0~0~0~0~0~0
Chase Elliott~-19~-1~-9~-5~1~2~-5~0~0~0~0~0~0
Cameron Hayley~-19~-12~-20~-8~-11~-8~-10~0~0~0~0~0~0
Tyler Reddick~-19~-6~-14~-5~-10~-3~-9~0~0~0~0~0~0
Erik Jones~-19~1~-7~3~4~-1~3~0~0~0~0~0~0
Matt Tifft~-19~-25~-33~-29~-24~-27~-23~0~0~0~0~0~0
Austin Wayne Self~-19~-31~-39~-28~-34~-30~-29~0~0~0~0~0~0
Bayley Currey~-18~-39~-47~-36~-43~-41~-37~0~0~0~0~0~0
Cody Coughlin~-18~-1~-9~-2~-2~-4~3~0~0~0~0~0~0
Spencer Boyd~-18~-25~-33~-23~-22~-28~-25~0~0~0~0~0~0
Josh Bilicki~-18~-11~-19~-8~-15~-10~-7~0~0~0~0~0~0
Cody Ware~-17~-11~-19~-9~-10~-8~-13~0~0~0~0~0~0
Mason Mingus~-17~-46~-54~-49~-47~-48~-47~0~0~0~0~0~0
Bubba Wallace~-17~1~-7~3~5~-3~3~0~0~0~0~0~0
Gus Dean~-17~-1~-9~-4~0~2~-3~0~0~0~0~0~0
Ryan Blaney~-17~3~-5~1~0~6~6~0~0~0~0~0~0
Christopher Bell~-17~-2~-10~1~1~-5~-2~0~0~0~0~0~0
Myatt Snider~-17~-2~-10~-2~-2~-6~-6~0~0~0~0~0~0
Chase Briscoe~-17~4~-4~6~5~4~8~0~0~0~0~0~0
Austin Hill~-17~-8~-16~-4~-8~-7~-5~0~0~0~0~0~0
Brandon Brown~-17~-15~-23~-12~-14~-14~-12~0~0~0~0~0~0
Ty Majeski~-17~-15~-23~-19~-14~-16~-19~0~0~0~0~0~0
Gus Dean~-17~-18~-26~-21~-17~-14~-19~0~0~0~0~0~0
Austin Theriault~-17~-23~-31~-25~-23~-20~-23~0~0~0~0~0~0
Harrison Rhodes~-17~-23~-31~-22~-19~-23~-26~0~0~0~0~0~0
Dylan Lupton~-17~-25~-33~-25~-24~-27~-25~0~0~0~0~0~0
Codie Rohrbaugh~-17~-26~-34~-26~-27~-26~-26~0~0~0~0~0~0
Kevin Donahue~-16~-33~-41~-29~-32~-37~-36~0~0~0~0~0~0
Alex Labbe~-16~17~9~19~19~18~20~0~0~0~0~0~0
Kyle Larson~-16~5~-3~1~7~7~3~0~0~0~0~0~0
Alex Bowman~-16~1~-7~1~2~1~1~0~0~0~0~0~0
Chris Buescher~-16~-1~-9~2~2~3~0~0~0~0~0~0~0
Ross Chastain~-16~-1~-9~0~-3~3~0~0~0~0~0~0~0
Timmy Hill~-16~-3~-11~-7~1~-3~-1~0~0~0~0~0~0
Max Gresham~-16~-5~-13~-4~-2~-7~-4~0~0~0~0~0~0
Brett Moffitt~-16~-6~-14~-8~-6~-6~-7~0~0~0~0~0~0
Ryan Reed~-16~-6~-14~-10~-4~-7~-10~0~0~0~0~0~0
Jeb Burton~-16~-7~-15~-7~-7~-7~-9~0~0~0~0~0~0
Josh Williams~-16~-17~-25~-15~-18~-17~-18~0~0~0~0~0~0
Joey Gase~-16~-19~-27~-17~-22~-19~-15~0~0~0~0~0~0
Gary Klutt~-16~-24~-32~-28~-21~-24~-28~0~0~0~0~0~0
Bobby Kennedy~-15~-25~-33~-24~-21~-29~-25~0~0~0~0~0~0
Matt Martin~-15~22~14~23~24~19~24~0~0~0~0~0~0
Johanna Long~-15~10~2~7~6~12~6~0~0~0~0~0~0
Michael Self~-15~6~-2~5~2~3~7~0~0~0~0~0~0
Matt DiBenedetto~-15~5~-3~9~9~6~1~0~0~0~0~0~0
Rico Abreu~-15~5~-3~8~3~8~9~0~0~0~0~0~0
Ty Dillon~-15~2~-6~3~0~2~4~0~0~0~0~0~0
