Name~Age~SS~IN~FL~ST~RC~Aggr.~Career Titles~Career Wins~Career Top 5's~Career Top 10's~Career Races~~
Hudson Logano~-15~-150~-152~-150~-153~-146~0~0~0~0~0~0~
Tanner Kahne~-13~-130~-133~-131~-129~-127~0~0~0~0~0~0~
Owen Larson~-12~-121~-119~-124~-123~-117~0~0~0~0~0~0~
Brexton Busch~-12~-123~-123~-125~-123~-124~0~0~0~0~0~0~
Keelan Harvick~-10~-103~-104~-104~-107~-99~0~0~0~0~0~0~
Cash Bowyer~-10~-107~-103~-104~-110~-103~0~0~0~0~0~0~
Leo Gordon~-8~-89~-85~-93~-91~-85~0~0~0~0~0~0~
Ty Gibbs~0~-42~-44~-43~-41~-43~0~0~0~0~0~0~
Sam Mayer~0~-44~-48~-44~-45~-43~0~0~0~0~0~0~
Tyler Mallon~1~-10~-10~-11~-10~-10~0~0~0~0~0~0~
Chandler Smith~1~-25~-27~-29~-24~-28~0~0~0~0~0~0~
Hailie Deegan~2~-11~-12~-7~-10~-14~0~0~0~0~0~0~
Thad Moffitt~2~-16~-19~-15~-19~-16~0~0~0~0~0~0~
Raphael Lessard~2~-23~-27~-26~-25~-23~0~0~0~0~0~0~
Tyler Ankrum~2~-25~-23~-29~-22~-26~0~0~0~0~0~0~
Paul Wolfe~24~63~62~67~61~62~0~0~0~0~0~0~
Derek Kraus~2~-38~-37~-42~-35~-38~0~0~0~0~0~0~
Kody Vanderwal~2~-54~-54~-50~-57~-52~0~0~0~0~0~0~
Harrison Burton~3~-22~-24~-25~-24~-21~0~0~0~0~0~0~
Todd Gilliland~3~-32~-33~-32~-34~-36~0~0~0~0~0~0~
Christian Eckes~3~-11~-11~-13~-17~-38~0~0~0~0~0~0~
Tyler Dippel~3~-50~-49~-50~-54~-46~0~0~0~0~0~0~
Tate Fogleman~3~-52~-51~-52~-52~-54~0~0~0~0~0~0~
Anthony Alfredo~4~-5~-3~-2~-7~-4~0~0~0~0~0~0~
Justin Haley~4~12~14~25~21~24~0~0~0~0~0~0~
Austin Cindric~4~-26~-30~-28~-22~-23~0~0~0~0~0~0~
Zane Smith~4~-28~-24~-25~-31~-25~0~0~0~0~0~0~
Tanner Gray~4~-35~-34~-39~-38~-35~0~0~0~0~0~0~
Riley Herbst~4~-41~-45~-37~-38~-38~0~0~0~0~0~0~
Dalton Sargeant~5~15~14~18~17~15~0~0~0~0~0~0~
Kaz Grala~5~10~12~6~10~11~0~0~0~0~0~0~
Cole Custer~5~-19~-17~-17~-22~-16~0~0~0~0~0~0~
William Byron~5~-21~-19~-21~-18~-24~0~0~0~0~0~0~
Noah Gragson~5~-29~-31~-31~-30~-32~0~0~0~0~0~0~
Spencer Davis~5~-31~-30~-29~-33~-28~0~0~0~0~0~0~
Gray Gaulding~5~-35~-32~-33~-37~-32~0~0~0~0~0~0~
Chase Purdy~5~-37~-37~-41~-33~-33~0~0~0~0~0~0~
Kyle Weatherman~5~-39~-39~-36~-35~-41~0~0~0~0~0~0~
Joe Graf, Jr.~5~-41~-37~-41~-40~-39~0~0~0~0~0~0~
Logan Seavey~6~8~11~4~11~4~0~0~0~0~0~0~
John Hunter Nemechek~6~-13~-9~-13~-14~-10~0~0~0~0~0~0~
Jesse Little~6~-18~-20~-16~-15~-19~0~0~0~0~0~0~
Brandon Jones~6~-23~-25~-24~-21~-24~0~0~0~0~0~0~
Ben Rhodes~6~-24~-22~-23~-22~-24~0~0~0~0~0~0~
Sheldon Creed~6~-26~-22~-28~-22~-24~0~0~0~0~0~0~
Vinnie Miller~6~-33~-36~-31~-32~-32~0~0~0~0~0~0~
Blake Jones~6~-35~-37~-36~-37~-39~0~0~0~0~0~0~
Natalie Decker~6~-36~-37~-38~-37~-40~0~0~0~0~0~0~
Quin Houff~6~-44~-45~-43~-41~-43~0~0~0~0~0~0~
Chase Elliott~7~7~13~10~14~14~0~0~0~0~0~0~
Cameron Hayley~7~5~8~3~9~8~0~0~0~0~0~0~
Tyler Reddick~7~24~24~21~27~25~0~0~0~0~0~0~
Erik Jones~7~25~22~14~14~15~0~0~0~0~0~0~
Matt Tifft~7~-17~-20~-14~-15~-17~0~0~0~0~0~0~
Austin Wayne Self~7~-23~-24~-27~-23~-26~0~0~0~0~0~0~
Bayley Currey~7~-31~-28~-33~-31~-33~0~0~0~0~0~0~
Cody Coughlin~8~7~6~7~5~8~0~0~0~0~0~0~
Spencer Boyd~8~-17~-13~-18~-18~-16~0~0~0~0~0~0~
Josh Bilicki~8~-23~-23~-19~-19~-25~0~0~0~0~0~0~
Cody Ware~8~-26~-30~-26~-24~-26~0~0~0~0~0~0~
Mason Mingus~9~4~7~1~4~7~0~0~0~0~0~0~
Bubba Wallace~9~19~18~15~19~13~0~0~0~0~0~0~
Gus Dean~9~7~8~11~5~7~0~0~0~0~0~0~
Ryan Blaney~9~17~15~13~15~11~0~0~0~0~0~0~
Christopher Bell~9~18~12~13~14~13~0~0~0~0~0~0~
Myatt Snider~9~6~2~6~9~8~0~0~0~0~0~0~
Chase Briscoe~9~13~17~11~-11~-11~0~0~0~0~0~0~
Austin Hill~9~0~0~1~-2~-1~0~0~0~0~0~0~
Brandon Brown~9~-7~-11~-8~-5~-5~0~0~0~0~0~0~
Ty Majeski~9~-7~-5~-5~-5~-3~0~0~0~0~0~0~
Gus Dean~9~-10~-10~-9~-6~-11~0~0~0~0~0~0~
Austin Theriault~9~-15~-16~-11~-16~-16~0~0~0~0~0~0~
Harrison Rhodes~9~-15~-11~-19~-18~-16~0~0~0~0~0~0~
