#~Name~Sponsor~Sponsor 2~Team~Manufacturer~SS~IN~FL~ST~RC~Aggr.~Morale~Age~Titles~Wins~Top 5's~Top 10's~Starts~Years~Engine~Chassis~Aero~Pit Crew~Prestige~Schedule~~
1~Martin Truex Jr~Bass Pro Shops~Bass Pro Shops~Earnhardt-Ganassi Racing~Chevrolet~78~83~82~84~75~79~100~29~0~1~12~21~115~1~80~77~80~77~70~Full Time~
2~Kurt Busch~Miller Lite~Miller Lite~Penske Racing~Dodge~82~85~83~85~81~96~100~30~1~18~65~137~288~1~87~85~86~91~90~Full Time~
4~Scott Wimmer~State Water Heaters~Unsponsored~Morgan-McClure Motorsports~Chevrolet~56~53~52~53~52~97~100~51~32~0~0~0~0~4~54~59~49~48~70~Part Time~
5~Mark Martin~Kellogg's~Carquest~Hendrick Motorsports~Chevrolet~88~88~87~85~89~80~100~49~0~40~260~423~770~2~87~85~84~98~93~Full Time~
6~David Ragan~UPS~UPS~Roush Racing~Ford~79~77~77~77~66~80~100~23~0~0~8~16~108~3~80~80~80~84~93~Full Time~
7~Robby Gordon~Jim Beam~Menards~Robby Gordon Racing~Dodge~68~71~71~72~95~100~100~33~0~1~5~11~98~9~53~51~54~49~45~Part Time~
8~Aric Almirola~Guitar Hero~Target~Earnhardt-Ganassi Racing~Chevrolet~74~75~75~70~66~85~98~25~0~0~0~0~15~2~73~75~74~72~60~Full Time~
9~Kasey Kahne~Budweiser~Budweiser~Richard Petty Motorsports~Dodge~82~89~89~86~80~81~100~29~0~9~48~84~186~5~84~84~86~83~84~Full Time~
11~Denny Hamlin~FedEx~FedEx~Joe Gibbs Racing~Toyota~86~83~84~85~77~56~100~29~0~4~32~60~111~1~55~85~82~88~89~Full Time~
12~David Stremme~Penske~Penske~Penske Racing~Dodge~73~67~71~66~64~85~100~31~0~0~0~3~73~1~85~85~85~86~95~Full Time~
13~Max Papis~Geico~Geico~Germain Racing~Toyota~68~66~64~64~80~74~100~38~0~0~0~0~0~3~66~66~66~66~65~Part Time~
14~Tony Stewart~Office Depot~Old Spice~Stewart-Haas Racing~Chevrolet~87~90~88~84~93~99~100~37~2~32~140~267~500~9~82~79~78~78~96~Full Time~
16~Greg Biffle~3M~Scotch~Roush Racing~Ford~84~85~83~86~84~51~100~30~0~7~20~50~236~2~89~86~80~98~78~Full Time~
17~Matt Kenseth~DeWalt Tools~Smirnoff Ice~Roush Racing~Ford~85~86~85~84~83~56~100~36~0~6~20~41~112~4~89~92~88~98~94~Full Time~
18~Kyle Busch~M&M's~Interstate Batteries~Joe Gibbs Racing~Toyota~92~90~90~89~86~74~100~29~0~11~79~149~330~7~98~95~88~88~97~Full Time~
19~Elliott Sadler~Best Buy~Stanley Tools~Richard Petty Motorsports~Dodge~75~74~76~79~73~77~100~40~0~3~19~69~400~2~76~75~77~83~75~Full Time~
20~Joey Logano~The Home Depot~The Home Depot~Joe Gibbs Racing~Toyota~74~74~77~74~74~99~100~19~0~0~0~0~0~3~82~82~87~94~96~Full Time~
21~Bill Elliott~Little Debbie~Motorcraft~Wood Brothers Racing~Ford~70~72~63~67~61~83~100~49~1~43~166~310~792~2~65~65~75~75~65~Part Time~
24~Jeff Gordon~DuPont~Pepsi~Hendrick Motorsports~Chevrolet~91~93~92~91~90~84~100~36~4~61~160~210~329~13~90~90~92~96~100~Full Time~
26~Jamie McMurray~Irwin Tools~Crown Royal~Roush Racing~Ford~82~85~83~85~81~96~100~30~0~2~32~117~216~2~81~81~85~87~82~Full Time~
28~Travis Kvapil~Academy Sports~Golden Corral~Yates / Hall of Fame Racing~Ford~70~64~68~64~60~74~100~44~0~0~0~15~40~1~70~64~67~64~35~Part Time~
29~Kevin Harvick~Shell / Pennzoil~Pennzoil~Richard Childress Racing~Chevrolet~85~84~85~83~83~93~100~33~0~10~34~126~287~4~85~90~87~89~92~Full Time~
31~Jeff Burton~CAT~CAT~Richard Childress Racing~Chevrolet~79~81~75~78~74~83~100~41~0~37~124~240~620~2~80~87~80~89~73~Full Time~
33~Clint Bowyer~Cheerios~BB&T~Richard Childress Racing~Chevrolet~82~80~78~78~78~93~100~29~0~2~16~50~108~3~85~82~84~89~92~Full Time~
34~John Andretti~Taco Bell~Window World~Front Row Motorsports~Ford~63~62~65~68~55~85~100~46~0~2~13~37~370~1~67~67~69~65~72~Full Time~
36~Scott Riggs~Nexxus~Red Bank~Tommy Baldwin Racing~Toyota~68~67~65~62~56~85~100~37~0~0~1~5~108~1~75~72~73~77~77~Full Time~
39~Ryan Newman~US Army~Tornados~Stewart-Haas Racing~Chevrolet~84~81~80~82~80~100~100~33~0~13~60~92~292~4~80~75~83~77~70~Full Time~
41~Jeremy Mayfield~Big Red~All Sport~Mayfield Motorsports~Toyota~70~65~67~64~68~89~100~51~0~5~48~96~448~11~60~69~67~64~26~Full Time~
42~Juan Pablo Montoya~Target~Energizer~Earnhardt-Ganassi Racing~Chevrolet~76~77~79~74~90~88~100~33~0~1~5~9~73~1~81~81~85~87~82~Full Time~
43~Reed Sorenson~McDonalds~Valvoline~Richard Petty Motorsports~Dodge~78~73~75~75~74~91~75~26~0~0~1~4~120~3~76~78~76~89~76~Full Time~
44~AJ Allmendinger~Valvoline~Charter Communications~Richard Petty Motorsports~Dodge~79~74~72~71~80~69~93~25~0~0~0~0~36~2~75~79~73~85~87~Full Time~
46~Carl Long~Al Smith Dodge~Al Smith Dodge~Carl Long Racing~Dodge~48~45~48~45~45~48~100~49~0~0~0~0~7~1~32~38~36~19~38~Part Time~
47~Marcos Ambrose~Little Debbie~Kingsford~JTG Racing~Dodge~71~72~70~68~84~74~100~34~0~0~1~1~11~3~70~65~70~65~65~Full Time~
48~Jimmie Johnson~Lowe's~Lowe's~Hendrick Motorsports~Chevrolet~90~94~87~83~85~78~100~33~0~3~6~21~39~8~91~86~89~96~98~Full Time~
55~Michael Waltrip~NAPA~Aaron's~Michael Waltrip Racing~Toyota~78~62~67~65~64~99~100~46~0~4~39~132~760~6~69~69~69~69~58~Full Time~
66~Dave Blaney~Unsponsored~Unsponsored~PRISM Motorsports~Toyota~59~62~61~60~64~51~100~36~0~0~0~14~161~1~41~45~42~34~58~Full Time~
71~David Gilliland~TaxAct~TaxAct~TRG Motorsports~Chevrolet~81~79~75~72~79~81~100~29~0~0~1~5~36~1~75~75~75~75~65~Part Time~
77~Sam Hornish Jr~Mobil 1~AAA~Penske Racing~Dodge~77~78~75~72~86~62~100~32~0~0~0~0~0~2~71~68~72~73~68~Full Time~
78~Regan Smith~Furniture Row~Furniture Row~Furniture Row Racing~Chevrolet~73~73~73~73~73~73~100~23~0~0~0~0~0~2~65~65~65~65~70~Full Time~
82~Scott Speed~Red Bull~Red Bull~Red Bull Racing~Toyota~74~65~70~78~77~51~100~36~0~0~0~0~1~1~41~45~42~34~58~Full Time~
83~Brian Vickers~Red Bull~Red Bull~Red Bull Racing~Toyota~80~76~79~75~72~100~80~25~0~1~13~30~193~2~82~80~79~88~60~Full Time~
87~Joe Nemechek~Nemco~Nemco~NEMCO Racing~Toyota~68~74~67~69~70~62~100~50~0~4~26~80~487~10~42~43~36~13~47~Part Time~
88~Dale Earnhardt, Jr.~AMP Energy~Mountian Dew~Hendrick Motorsports~Chevrolet~94~91~86~87~78~85~98~32~0~7~23~37~111~5~87~86~92~86~99~Full Time~
96~Bobby Labonte~Ask.com~Ask.com~Yates / Hall of Fame Racing~Ford~74~75~70~68~65~74~100~44~1~19~89~149~440~1~67~64~67~64~35~Full Time~
98~Paul Menard~Menard's~Menard's~Yates / Hall of Fame Racing~Ford~70~64~68~65~63~74~100~44~0~0~1~1~72~2~73~72~74~73~35~Full Time~
99~Carl Edwards~Scott's~Claritin~Roush Racing~Ford~89~91~85~88~84~83~100~29~0~0~1~5~13~4~90~89~90~98~86~Full Time~
00~David Reutimann~Aaron's Dream Machine~Dominos~Michael Waltrip Racing~Toyota~78~71~75~72~67~62~100~39~0~0~0~4~36~2~81~76~72~73~68~Full Time~
07~Casey Mears~Jack Daniels~Jack Daniels~Richard Childress Racing~Dodge~63~62~65~59~51~85~100~30~0~1~11~47~180~1~80~78~76~87~61~Full Time~
09~Brad Keselowski~Miccosukee Indian Gaming~Miccosukee Indian Gaming~Phoenix Racing~Dodge~85~72~70~74~70~100~75~25~0~0~0~0~2~1~70~60~70~60~57~Part Time~
Start Year~Points Format~Starting Cars Per Race~Lowest Cars Per Race~Largest Cars Per Race~Starting Min Driver Age~Lowest Min Driver Age~Largest Min Driver Age~Starting Max Driver Age~Lowest Max Driver Age~Largest Max Driver Age~~~~~~~~~~~~~~~~~~Schedule~~
2009~2009~43~1~40~43~20~17~21~60~60~65~~~~~~~~~~~~~~~~~~~
Starting Number of Races~Lowest Number of Races~Largest Number of Races~~~~~~~~~~~~~~~~~~~~~~~~~~~
36~34~36~~~~~~~~~~~~~~~~~~~~~~~~~~~
Manufactures~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Name~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Dodge~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Chevy~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Ford~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Toyota~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Schedule~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Race #~Race Name~Track Name~Track Type~~~~~~~~~~~~~~~~~~~~~~~~~~
1~Daytona 500~Daytona~Superspeedway~~~~~~~~~~~~~~~~~~~~~~~~~~
2~Subway 400~Rockingham~Flat~~~~~~~~~~~~~~~~~~~~~~~~~~
3~UAW Diamler Chrysler 500~Las Vegas~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
4~Golden Corral 500~Atlanta~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
5~Dodge Dealers 500~Darlington~Flat~~~~~~~~~~~~~~~~~~~~~~~~~~
6~Food City 500~Bristol~Short Track~~~~~~~~~~~~~~~~~~~~~~~~~~
7~Samsung Radio Shack 500~Texas~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
8~Advance Auto Parts 500~Martinsville~Short Track~~~~~~~~~~~~~~~~~~~~~~~~~~
9~Aarons 499~Talladega~Superspeedway~~~~~~~~~~~~~~~~~~~~~~~~~~
10~Auto Club 500~Fontana~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
11~Chevy American Revolution 400~Richmond~Short Track~~~~~~~~~~~~~~~~~~~~~~~~~~
12~Coca-Cola 600~Lowe's~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
13~MBNA 400~Dover~Flat~~~~~~~~~~~~~~~~~~~~~~~~~~
14~Pocono 500~Pocono~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
15~DHL 400~Michigan~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
16~Dodge/SaveMart 350~Infineon~Road Course~~~~~~~~~~~~~~~~~~~~~~~~~~
17~Pepsi 400~Daytona~Superspeedway~~~~~~~~~~~~~~~~~~~~~~~~~~
18~Tropicana 400~Chicagoland~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
19~Siemens 300~New Hampshire~Flat~~~~~~~~~~~~~~~~~~~~~~~~~~
20~Pennsylvania 500~Pocono~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
21~The Brickyard 400~Indianapolis~Flat~~~~~~~~~~~~~~~~~~~~~~~~~~
22~Cheeze-It 499 @ The Glen~Watkins Glen~Road Course~~~~~~~~~~~~~~~~~~~~~~~~~~
23~GFS MarketPlace 400~Michigan~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
24~Sharpie 500~Bristol~Short Track~~~~~~~~~~~~~~~~~~~~~~~~~~
25~Pop Secret 400~Fontana~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
26~Chevy Rock & Roll 400~Richmond~Short Track~~~~~~~~~~~~~~~~~~~~~~~~~~
27~Sylvania 300~New Hampshire~Flat~~~~~~~~~~~~~~~~~~~~~~~~~~
28~MBNA 400~Dover~Flat~~~~~~~~~~~~~~~~~~~~~~~~~~
29~EA Sports 500~Talladega~Superspeedway~~~~~~~~~~~~~~~~~~~~~~~~~~
30~Banquet 500~Kansas~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
31~Sharpie 500~Bristol~Short Track~~~~~~~~~~~~~~~~~~~~~~~~~~
32~Sirius 500~Michigan~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
33~Bass Pro Shops 500~Atlanta~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
34~Checker Auto Parts 500~Phoenix~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~
35~Southern 500~Darlington~Flat~~~~~~~~~~~~~~~~~~~~~~~~~~
36~Ford 500~Homestead~Flat~~~~~~~~~~~~~~~~~~~~~~~~~~
New Races~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Race Name~Track Name~Track Type~~~~~~~~~~~~~~~~~~~~~~~~~~~
Coca Cola 600~Charlotte ROVAL~Road Course~~~~~~~~~~~~~~~~~~~~~~~~~~~
Quaker State 400~Iowa~Flat~~~~~~~~~~~~~~~~~~~~~~~~~~~
Kentucky 300~Kentucky~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~~
Road America 400~Road America~Road Course~~~~~~~~~~~~~~~~~~~~~~~~~~~
Mtn Dew 500~Nashville~Intermediate~~~~~~~~~~~~~~~~~~~~~~~~~~~
Motorola 400~Montreal~Road Course~~~~~~~~~~~~~~~~~~~~~~~~~~~
Name~Age~SS~IN~FL~ST~RC~Aggr.~Career Titles~Career Wins~Career Top 5's~Career Top 10's~Career Races~~
Hudson Logano~-10~-142~-144~-146~-144~-140~0~0~0~0~0~0~
Tanner Kahne~-8~-122~-123~-122~-121~-118~0~0~0~0~0~0~
Owen Larson~-7~-113~-116~-114~-113~-114~0~0~0~0~0~0~
Brexton Busch~-7~-115~-118~-116~-118~-111~0~0~0~0~0~0~
Keelan Harvick~-5~-95~-94~-97~-96~-96~0~0~0~0~0~0~
Cash Bowyer~-5~-99~-95~-103~-103~-102~0~0~0~0~0~0~
Leo Gordon~-3~-81~-79~-81~-84~-85~0~0~0~0~0~0~
Ty Gibbs~5~-34~-30~-34~-36~-36~0~0~0~0~0~0~
Sam Mayer~5~-36~-33~-36~-34~-32~0~0~0~0~0~0~
Tyler Mallon~6~-2~-2~2~1~-1~0~0~0~0~0~0~
Chandler Smith~6~-17~-18~-19~-19~-13~0~0~0~0~0~0~
Hailie Deegan~7~-3~-2~1~-4~-7~0~0~0~0~0~0~
Thad Moffitt~7~-8~-6~-8~-10~-11~0~0~0~0~0~0~
Raphael Lessard~7~-15~-15~-15~-12~-18~0~0~0~0~0~0~
Tyler Ankrum~7~-17~-14~-13~-19~-18~0~0~0~0~0~0~
Derek Kraus~7~-30~-30~-31~-32~-26~0~0~0~0~0~0~
Kody Vanderwal~7~-46~-44~-48~-47~-48~0~0~0~0~0~0~
Harrison Burton~8~-14~-18~-16~-13~-18~0~0~0~0~0~0~
Todd Gilliland~8~-24~-20~-25~-24~-24~0~0~0~0~0~0~
Christian Eckes~8~-33~-36~-36~-33~-31~0~0~0~0~0~0~
Tyler Dippel~8~-42~-44~-42~-43~-46~0~0~0~0~0~0~
Tate Fogleman~8~-44~-40~-41~-47~-47~0~0~0~0~0~0~
Anthony Alfredo~9~83~79~84~83~79~0~0~0~0~0~0~
Justin Haley~9~-14~-17~-16~-15~-16~0~0~0~0~0~0~
Austin Cindric~9~-18~-18~-21~-14~-15~0~0~0~0~0~0~
Zane Smith~9~-20~-18~-21~-16~-22~0~0~0~0~0~0~
Tanner Gray~9~-27~-25~-27~-29~-28~0~0~0~0~0~0~
Riley Herbst~9~-33~-33~-32~-37~-37~0~0~0~0~0~0~
Dalton Sargeant~10~23~27~20~22~19~0~0~0~0~0~0~
Kaz Grala~10~18~17~19~17~14~0~0~0~0~0~0~
Cole Custer~10~-11~-7~-9~-10~-7~0~0~0~0~0~0~
William Byron~10~-13~-15~-12~-15~-15~0~0~0~0~0~0~
Noah Gragson~10~-21~-24~-24~-20~-25~0~0~0~0~0~0~
Spencer Davis~10~-23~-27~-25~-25~-19~0~0~0~0~0~0~
Gray Gaulding~10~-27~-29~-29~-23~-30~0~0~0~0~0~0~
Chase Purdy~10~-29~-33~-28~-25~-33~0~0~0~0~0~0~
Kyle Weatherman~10~-31~-35~-33~-28~-31~0~0~0~0~0~0~
Joe Graf, Jr.~10~-33~-29~-31~-29~-36~0~0~0~0~0~0~
Logan Seavey~11~16~13~14~17~18~0~0~0~0~0~0~
John Hunter Nemechek~11~-5~-3~-7~-1~-9~0~0~0~0~0~0~
Jesse Little~11~-10~-7~-8~-8~-14~0~0~0~0~0~0~
Brandon Jones~11~-15~-12~-12~-17~-18~0~0~0~0~0~0~
Ben Rhodes~11~-16~-14~-19~-13~-14~0~0~0~0~0~0~
Sheldon Creed~11~-18~-16~-20~-19~-16~0~0~0~0~0~0~
Vinnie Miller~11~-25~-21~-25~-23~-25~0~0~0~0~0~0~
Blake Jones~11~-27~-28~-30~-24~-31~0~0~0~0~0~0~
Natalie Decker~11~-28~-25~-26~-28~-24~0~0~0~0~0~0~
Quin Houff~11~-36~-35~-37~-35~-37~0~0~0~0~0~0~
Chase Elliott~12~15~11~17~16~17~0~0~0~0~0~0~
Cameron Hayley~12~13~17~11~17~15~0~0~0~0~0~0~
Tyler Reddick~12~15~16~13~13~11~0~0~0~0~0~0~
Erik Jones~12~16~15~15~14~17~0~0~0~0~0~0~
Matt Tifft~12~-9~-5~-8~-11~-11~0~0~0~0~0~0~
Austin Wayne Self~12~-15~-13~-11~-13~-16~0~0~0~0~0~0~
Bayley Currey~12~-23~-19~-20~-19~-26~0~0~0~0~0~0~
Cody Coughlin~13~15~19~17~15~14~0~0~0~0~0~0~
Spencer Boyd~13~-9~-12~-12~-12~-9~0~0~0~0~0~0~
Josh Bilicki~13~-15~-14~-13~-14~-15~0~0~0~0~0~0~
Cody Ware~13~-18~-21~-16~-17~-20~0~0~0~0~0~0~
Mason Mingus~14~-22~-22~-18~-19~-25~0~0~0~0~0~0~
Bubba Wallace~14~17~17~19~16~21~0~0~0~0~0~0~
Ryan Blaney~14~24~27~21~21~20~0~0~0~0~0~0~
Christopher Bell~14~18~19~20~16~16~0~0~0~0~0~0~
Myatt Snider~14~1~-1~3~5~3~0~0~0~0~0~0~
Chase Briscoe~14~17~18~19~20~18~0~0~0~0~0~0~
Austin Hill~14~11~10~13~12~12~0~0~0~0~0~0~
Brandon Brown~14~1~4~1~5~-3~0~0~0~0~0~0~
Ty Majeski~14~8~5~12~12~12~0~0~0~0~0~0~
Gus Dean~14~-2~-5~2~-4~-5~0~0~0~0~0~0~
