Name~Age~SS~IN~FL~ST~RC~Aggr.~Career Titles~Career Wins~Career Top 5's~Career Top 10's~Career Races~~
Christian Eckes~19~62~62~62~62~62~62~0~0~0~0~0~
Hailie Deegan~19~58~58~58~58~58~58~0~0~0~0~0~
Chase Briscoe~25~68~73~68~68~70~68~0~0~0~0~0~
Riley Herbst~21~59~59~59~59~59~59~0~0~0~0~0~
Tanner Gray~21~55~55~55~55~55~55~0~0~0~0~0~
Kyle Larson~28~84~90~91~92~76~80~0~7~55~98~219~
Zane Smith~20~57~57~57~57~57~57~0~0~0~0~0~
Thad Moffitt~19~53~53~53~53~53~53~0~0~0~0~0~
Todd Gilliland~19~53~53~53~53~53~82~0~0~0~0~0~
Derek Kraus~18~58~58~58~58~58~58~0~0~0~0~0~
Raphael Lessard~18~55~55~55~55~55~55~0~0~0~0~0~
Ben Rhodes~23~50~50~50~50~50~50~0~0~0~0~0~
Noah Gragson~21~56~56~56~56~56~56~0~0~0~0~0~
Ross Chastain~28~78~75~75~75~75~75~0~0~0~1~71~
Harrison Burton~19~58~58~58~58~58~58~0~0~0~0~0~
Austin Cindric~21~60~62~63~60~65~87~0~0~0~0~0~
Ryan Sieg~32~54~54~54~54~54~54~0~0~0~0~6~
Ty Gibbs~17~55~55~55~55~55~55~0~0~0~0~0~
Chandler Smith~17~64~64~64~64~64~64~0~0~0~0~0~
Sam Mayer~16~59~59~59~59~59~59~0~0~0~0~0~
Ray Black Jr~28~48~48~48~48~48~50~0~0~0~0~0~
Alex Labbe~27~51~51~51~51~51~51~0~0~0~0~0~
Brandon Jones~23~57~57~57~57~57~57~0~0~0~0~0~
Myatt Snider~25~55~55~55~55~55~55~0~0~0~0~0~
Max McLaughlin~20~55~55~55~55~55~55~0~0~0~0~0~
Joe Graf Jr~21~50~50~50~50~50~50~0~0~0~0~0~
Gray Gaulding~22~55~55~55~55~55~55~0~0~0~0~0~
Austin Hill~26~53~53~53~53~53~53~0~0~0~0~0~
Jordan Anderson~29~53~53~53~53~53~53~0~0~0~0~0~
Natalie Decker~22~50~50~50~50~50~50~0~0~0~0~0~
Grant Enfinger~35~58~58~58~58~58~58~0~0~0~0~0~
Spencer Boyd~24~53~53~53~53~53~53~0~0~0~0~0~
Ty Majeski~25~59~59~59~59~59~59~0~0~0~0~0~
Tim Richmond~22~51~51~51~51~51~51~0~0~0~0~0~
Daniel Hemric~29~70~70~70~70~70~70~0~0~1~2~38~
Justin Allgaier~33~70~70~70~70~70~70~0~0~0~1~76~
AJ Allmendinger~35~74~71~71~72~86~71~0~1~11~57~371~
Chase Cabre~23~53~53~53~53~53~53~0~0~0~0~0~
Derek Kraus~18~57~57~57~57~57~57~0~0~0~0~0~
Brett Moffitt~27~69~69~69~69~69~69~0~0~0~1~45~
Taylor Gray~15~43~43~43~43~43~43~0~0~0~0~0~
Dawson Cram~18~42~42~42~42~42~42~0~0~0~0~0~
Michael Self~29~59~59~59~59~59~59~0~0~0~0~0~
Bret Holmes~23~41~41~41~41~41~41~0~0~0~0~0~
Drew Dollar~19~41~41~41~41~41~41~0~0~0~0~0~
Leo Gordon~7~11~11~11~11~11~11~0~0~0~0~0~
Brexton Busch~5~6~6~6~6~6~6~0~0~0~0~0~
Cash Bowyer~6~9~9~9~9~9~9~0~0~0~0~0~
David Gravel~28~52~52~52~52~52~52~0~0~0~0~0~
Josh Berry~29~64~64~64~64~64~64~0~0~0~0~0~
Bayley Currey~23~65~65~65~65~65~65~0~0~0~0~10~
Cody Ware~24~54~54~54~54~54~54~0~0~0~0~23~
Ace Dillon~0~-6~-6~-6~-6~-6~-6~0~0~0~0~0~
Dale Earnhardt III~-4~-9~-9~-9~-9~-9~-9~0~0~0~0~0~
Owen Larson~5~9~9~9~9~9~9~0~0~0~0~0~
Keelan Harvick~7~11~11~11~11~11~11~0~0~0~0~0~
Tyler Ankrum~19~41~41~41~41~41~41~0~0~0~0~0~
Sheldon Creed~22~46~46~46~46~46~46~0~0~0~0~0~
Tyler Hill~26~41~41~41~41~41~41~0~0~0~0~0~
Carson Ware~20~40~40~40~40~40~40~0~0~0~0~0~
Anthony Alfredo~21~51~51~51~51~51~51~0~0~0~0~0~
Kaz Grala~22~54~54~54~54~54~54~0~0~0~0~0~
Brandon Brown~26~47~47~47~47~47~47~0~0~0~0~0~
Josh Williams~26~43~43~43~43~43~43~0~0~0~0~0~
James Davison~33~57~57~57~57~57~57~0~0~0~0~0~
Gio Sclezi~18~38~38~38~38~38~38~0~0~0~0~0~
Mason Diaz~20~39~39~39~39~39~39~0~0~0~0~0~
Ryan Truex~28~51~51~51~51~51~51~0~0~0~0~26~
Jeb Burton~27~51~51~51~51~51~51~0~0~0~0~33~
Spencer Davis~21~45~45~45~45~45~45~0~0~0~0~0~
Jesse Little~23~36~36~36~36~36~36~0~0~0~0~2~
Parker Klgerman~29~83~78~76~81~80~77~0~0~0~0~28~
Angela Ruch~36~64~64~64~64~64~64~0~0~0~0~0~
Tate Fogleman~20~55~55~55~55~55~55~0~0~0~0~0~
Tim Viens~43~41~41~41~41~41~41~0~0~0~0~0~
Cory Roper~42~68~68~68~68~68~68~0~0~0~0~0~
Norm Benning~68~72~72~72~72~72~72~0~0~0~0~4~
Korbin Forrister~27~54~54~54~54~54~54~0~0~0~0~0~
Jennifer Jo Cobb~47~70~70~70~70~70~70~0~0~0~0~0~
T.J. Bell~40~66~66~66~66~66~66~0~0~0~0~11~
Stefan Parsons~22~58~58~58~58~58~58~0~0~0~0~0~
Clay Greenfield~36~67~67~67~67~67~67~0~0~0~0~0~
Gus Dean~25~65~65~65~65~65~65~0~0~0~0~0~
Michael Annett~34~70~70~70~70~70~70~0~0~0~0~106~
Matt Mills~23~58~58~58~58~58~58~0~0~0~0~0~
Vinnie Miller~22~56~56~56~56~56~56~0~0~0~0~0~
Tommy Joe Martins~33~65~65~65~65~65~65~0~0~0~0~0~
Jeremy Clements~35~71~71~71~71~71~71~0~0~0~0~0~
Mike Harmon~62~55~55~55~55~55~55~0~0~0~0~0~
Landon Cassill~30~73~73~73~73~73~73~0~0~1~1~324~
Jeff Green~57~68~68~68~68~68~68~0~0~5~16~270~
